,ward,town_code,town_name,total_pop,pop_young,pop_working,pop_old,pc_young,pc_working,pc_old,gender_ratio,ageing_index,dependency_ratio,lat,lon
410,miyagino,41020024002,東仙台二丁目,1187,132,859,196,11.120471777590565,72.36731255265376,16.512215669755687,86.63522012578616,148.4848484848485,211.36670547147847,38.276590999999996,140.917338
411,miyagino,41020024003,東仙台三丁目,714,53,465,196,7.42296918767507,65.12605042016807,27.450980392156865,94.55040871934605,369.811320754717,207.3978494623656,38.27272,140.910754
412,miyagino,41020024004,東仙台四丁目,1649,360,1121,168,21.83141297756216,67.9805942995755,10.18799272286234,100.12135922330097,46.666666666666664,200.11418376449598,38.275861,140.90989299999998
413,miyagino,41020024005,東仙台五丁目,1293,98,780,415,7.579273008507348,60.32482598607889,32.095901005413765,89.03508771929825,423.46938775510205,427.56410256410254,38.276262,140.913643
414,miyagino,41020024006,東仙台六丁目,1201,145,749,307,12.073272273105745,62.364696086594506,25.562031640299747,88.24451410658307,211.72413793103448,326.35914552736983,38.280190000000005,140.91278799999998
415,miyagino,41020024007,東仙台七丁目,788,95,473,220,12.055837563451776,60.0253807106599,27.918781725888326,95.53349875930522,231.57894736842107,240.0845665961945,38.281653999999996,140.91449599999999
416,miyagino,41020023000,東宮城野,1256,186,837,233,14.808917197452228,66.64012738853503,18.550955414012737,86.35014836795251,125.26881720430107,255.22222222222223,38.260008,140.917992
417,miyagino,41020047001,日の出町一丁目,3,0,2,1,0.0,66.66666666666666,33.33333333333333,50.0,,,38.270593,140.934671
418,miyagino,41020047002,日の出町二丁目,3,0,1,2,0.0,33.33333333333333,66.66666666666666,50.0,,,38.267548,140.93445400000002
419,miyagino,41020047003,日の出町三丁目,23,0,11,12,0.0,47.82608695652174,52.17391304347826,109.09090909090908,,,38.26352,140.934283
420,miyagino,41020038000,福住町,1532,169,998,365,11.031331592689295,65.14360313315926,23.825065274151434,107.58807588075881,215.97633136094677,381.9338677354709,38.273262,140.953743
421,miyagino,41020004001,福田町一丁目,1271,177,880,214,13.926042486231314,69.23682140047207,16.837136113296616,107.6797385620915,120.90395480225989,234.11363636363637,38.272835,140.959465
422,miyagino,41020004002,福田町二丁目,2709,357,1896,456,13.178294573643413,69.9889258028793,16.832779623477297,116.72,127.73109243697478,474.82911392405066,38.267972,140.961839
423,miyagino,41020004003,福田町三丁目,488,72,312,104,14.754098360655737,63.934426229508205,21.311475409836063,119.81981981981981,144.44444444444443,127.07692307692308,38.263081,140.962871
424,miyagino,41020004004,福田町四丁目,753,87,501,165,11.553784860557768,66.53386454183267,21.91235059760956,107.43801652892562,189.6551724137931,182.36526946107784,38.263431,140.961049
425,miyagino,41020005001,福田町南一丁目,287,40,200,47,13.937282229965156,69.68641114982579,16.376306620209057,102.11267605633803,117.5,67.0,38.258992,140.961546
426,miyagino,41020005002,福田町南二丁目,60,2,39,19,3.3333333333333335,65.0,31.666666666666664,140.0,950.0,24.128205128205128,38.258348,140.96416000000002
427,miyagino,41020052000,福室,946,123,569,254,13.002114164904862,60.14799154334038,26.849894291754755,108.83002207505518,206.5040650406504,275.61687170474517,38.259531,140.969254
428,miyagino,41020025001,福室一丁目,770,76,544,150,9.87012987012987,70.64935064935065,19.480519480519483,109.23913043478262,197.36842105263156,163.97058823529412,38.269912,140.964806
429,miyagino,41020025002,福室二丁目,1985,171,1365,449,8.614609571788414,68.76574307304786,22.61964735516373,91.6023166023166,262.5730994152047,461.5274725274725,38.273105,140.96749599999998
430,miyagino,41020025003,福室三丁目,2780,384,1973,423,13.81294964028777,70.97122302158273,15.215827338129495,93.59331476323119,110.15625,442.46274708565636,38.277237,140.96874
431,miyagino,41020025004,福室四丁目,1207,199,708,300,16.487158243579124,58.657829328914666,24.855012427506214,94.05144694533763,150.75376884422113,328.10734463276833,38.276621,140.973793
432,miyagino,41020025005,福室五丁目,2213,272,1339,602,12.291007681879801,60.5061003163127,27.2028920018075,89.14529914529915,221.32352941176472,622.3136669156087,38.280266999999995,140.97242
433,miyagino,41020025006,福室六丁目,2187,315,1340,532,14.40329218106996,61.271147690900776,24.325560128029263,81.94675540765391,168.88888888888889,555.5074626865671,38.283069,140.969436
434,miyagino,41020025007,福室七丁目,1207,133,761,313,11.019055509527755,63.04888152444076,25.932062966031484,97.22222222222221,235.33834586466168,330.47700394218134,38.283233,140.972942
435,miyagino,41020030001,平成一丁目,1480,108,1032,340,7.297297297297297,69.72972972972973,22.972972972972975,99.19246298788694,314.81481481481484,350.4651162790698,38.270563,140.914425
436,miyagino,41020030002,平成二丁目,1344,98,868,378,7.291666666666667,64.58333333333334,28.125,98.23008849557522,385.7142857142857,389.2903225806452,38.272053,140.916864
437,miyagino,41020035000,枡江,569,88,391,90,15.465729349736378,68.7170474516696,15.817223198594025,101.0600706713781,102.27272727272727,112.50639386189258,38.280597,140.905442
438,miyagino,41020001000,松岡町,222,23,133,66,10.36036036036036,59.909909909909906,29.72972972972973,98.21428571428571,286.95652173913044,83.29323308270676,38.274396,140.914852
439,miyagino,41020054000,南目館,1156,154,997,5,13.321799307958477,86.24567474048442,0.43252595155709345,212.43243243243245,3.2467532467532463,20.44633901705115,38.265361,140.919395
440,miyagino,41020044001,宮城野一丁目,1540,149,1045,346,9.675324675324676,67.85714285714286,22.467532467532468,85.09615384615384,232.21476510067114,360.25837320574163,38.257611,140.898622
441,miyagino,41020044002,宮城野二丁目,1546,207,1082,257,13.389391979301424,69.98706338939198,16.623544631306597,87.62135922330097,124.15458937198068,276.1312384473198,38.258395,140.904552
442,miyagino,41020044003,宮城野三丁目,1167,190,813,164,16.28106255355613,69.66580976863753,14.05312767780634,90.99836333878886,86.31578947368422,187.37023370233703,38.257619,140.907462
443,miyagino,41020013001,宮千代一丁目,1657,186,1154,317,11.225105612552806,69.6439348219674,19.13095956547978,92.4506387921022,170.43010752688173,333.11785095320624,38.254645000000004,140.909246
